,Question,Answer
781,What is the city's population?,1.6 million
783,What is the official religion in the country?,Islam
785,Is there a more industrialized region in malaysia?,No
787,"after the 2008 elections, what party had the most parliament seats?",DAP
789,what is the name of the event that draws the worlds top riders to malaysia?,KL Grand Prix CSI 5*
791,Wasn't Leonardo da Vinci valued as an engineer?,no
792,Wasn't Leonardo da Vinci born on April 15?,"Yes, Leonardo da Vinci was born on April 15."
793,Who left Verroccio's studio?,Leonardo da Vinci left Verroccio's studio.
794,"When did Baldassare Castiglione, author of Il Cortegiano ( "" The Courtier "" ), write?",1528
795,When did he flee to Venice?,In 1499.
796,Was Leonardo a contemporary of Botticelli Domenico Ghirlandaio as well as Perugino?,"Leonardo was a contemporary of Botticelli, Domenico Ghirlandaio and Perugino."
797,Is the larger work now almost universally attributed to Leonardo?,"Although previously attributed to Ghirlandaio, the larger work is now almost universally attributed to Leonardo."
798,"Has Leonardo often been described as the archetype of the Renaissance man, a man whose unquenchable curiosity was equaled only by his powers of invention?",Yes
799,Is he widely considered to be one of the greatest painters of all time and perhaps the most diversely talented person ever to have lived?,Yes.
800,"According to art historian Helen Gardner, were the scope and depth of his interests without precedent and ``his mind and personality seem to us superhuman, the man himself mysterious and remote''?",Yes
801,Are lobsters invertebrates?,Yes
802,Are lobsters invertebrates?,Yes
803,Are lobsters kosher?,No
804,Are lobsters kosher?,No
805,Do lobsters have blue blood?,yes
806,Do lobsters have blue blood?,Yes
807,How many legs do lobsters have?,10.
808,How many legs do lobsters have?,10
809,Where are lobsters found?,In all oceans.
810,Where are lobsters found?,In all oceans
811,What is the mean level of mercury in American lobsters?,0.31 ppm
812,What is the mean level of mercury in American lobsters?,0.31 ppm
813,Do lobsters feel pain?,yes.
814,Do lobsters feel pain?,Yes
815,Did the Moche people worship lobsters?,yes.
816,Did the Moche people worship lobsters?,Yes
817,What is the caridoid escape reaction?,Swimming backwards quickly by curling and uncurling their abdomen.
818,What is the caridoid escape reaction?,When lobsters swim backwards quickly by curling and uncurling their abdomen
819,Were the recitations of the Ancient Greeks accompanied by lyre playing?,Yes
821,Does a classical lyre have a hollow body?,Yes
823,Is the lyre a stringed musical instrument?,Yes
825,Which constellation is said to resemble a lyre shape?,Lyra
827,How many raised arms are extending from the sound-chest of a classical lyre?,Two
829,What were the strings of a classical lyre made of?,Gut
831,Is the foot pedal framework for a piano called a lyre?,Yes
833,Where was the deepest note of the classical lyre in relation to the player's body?,It was farthest from the player's body.
835,Does a standard piano have fewer strings than a harp?,No
837,Is Malay the official language of Iraq?,No
838,Could Malay have originated from Sumatra island?,Yes.
839,Is Malay an agglutinative language?,Yes
840,Is Malay an agglutinative language?,Yes.
841,What family is Malay a member of?,Austronesian family
842,What family is Malay a member of?,Austronesian.
843,What is the basic word order in Malay?,Subject Verb Object
844,What is the basic word order in Malay?,Subject Object Verb.
845,What languages has Malay borrowed words from?,"Sanskrit, Arabic and English"
846,What languages has Malay borrowed words from?,"Arabic, Sanskrit, Tamil, Persian, Portuguese, Dutch, certain Chinese dialects, and English."
847,Are there many words in Malay that use natural gender?,No
848,How are new words formed in Malay?,three methods.
849,How are new words formed in Malay?,"Affixation, composition, and reduplication."
850,Is Malay in the Austronesian family of languages?,Yes
852,Is Malay an agglutinative language?,Yes
854,Is there one negation word in Malay?,No
856,How many parts of speech are there in Malay?,Four
858,What is the basic word order in Malay?,Subject Verb Object
860,What is the national language in Malaysia?,Malay 
862,Do linguists consider Malay to be a single language?,No
864,Can speakers of modern Malay understand Old Malay?,No
866,What language besides Malay is in the Austronesia language family?,Malagasy
868,Wasn't Malay language found in Sumatra?,The Malay language was found in Sumatra.
869,Wasn't Malay language written using Pallava?,Yes.
870,Was Malay language written using Pallava?,Yes
871,Had the language already been used as the lingua franca throughout the archipelago since the 15th century?,yes
872,Do another distinguishing feature of Malay ( include Indonesian Malay )?,Another distinguishing feature of Malay (include Indonesian Malay) is its use of measure words (penjodoh bilangan).
873,Is Malay spoken as local dialect of ethnic Malays?,Yes
874,Give an example of the tributary states of the Majapahit kingdom in eastern Java. ,Malayu is an example of the tributary states of the Majapahit kingdom in eastern Java.
875,Is Malay the one of the most widely spoken languages in the world?,yes
876,Was it derived from Latin?,Yes
877,Is Melbourne the capital and most populous city in the state of Victoria?,Yes
878,Is Melbourne the capital and most populous city in the state of Victoria?,Yes.
879,Is Melbourne home to Australia's busiest seaport?,Yes
880,Is Melbourne home to Australia's busiest seaport?,Yes.
881,Does Melbourne have a large international student community?,Yes
882,Does Melbourne have a large international student community?,Yes.
883,What is a resident of Melbourne known as?,Melburnian
884,What is a resident of Melbourne known as?,"A ""Melburnian""."
885,When was Melbourne officially declared as a city?,1847
886,When was Melbourne officially declared as a city?,In 1847.
887,How many sister cities does the City of Melbourne have?,six
888,How many sister cities does the City of Melbourne have?,Six.
889,Where is Melbourne situated?,boundary of the very hot inland areas and the cold southern ocean
890,How many domestic tourists visit Melbourne?,7.6 million domestic visitors
891,How many domestic tourists visit Melbourne?,7.6 million.
892,What religion holds majority in Melbourne?,Christian
893,What religion holds majority in Melbourne?,Christianity.
894,Did Albert Einstein keep a photograph of Faraday on his study wall?,"Yes, Albert Einstein kept a photograph of Faraday on his study wall."
895,Did Albert Einstein keep a photograph of Faraday on his study wall?,yes
896,Did Faraday marry Sarah Barnard?,"Yes, Faraday married Sarah Barnard."
897,Did Faraday marry Sarah Barnard?,yes
898,Did Faraday also discover the laws of electrolysis?,"Yes, Faraday also discovered the laws of  electrolysis."
899,Did Faraday also discover the laws of electrolysis?,yes
900,Who discovered benzene?,Michael Faraday discovered benzene.
901,Who discovered benzene?,Michael Faraday
902,Where was Michael Faraday born?,Michael Faraday was born in Newington Butts.
903,Where was Michael Faraday born?,Newington Butts
904,What is the Faraday effect?,The Faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an external magnetic field aligned in the direction the light is moving.
905,What is the Faraday effect?,The plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving.
906,Did Faraday discover diamagnetism?,"Yes, Faraday discovered diamagnetism."
907,Did Faraday discover diamagnetism?,yes
908,How many siblings did Faraday have?,Faraday had three siblings.
909,How many siblings did Faraday have?,two
910,Where is Michael Faraday buried?,Michael Faraday is buried in the dissenters' section of Highgate Cemetery.
911,Where is Michael Faraday buried?,in the dissenters' section of Highgate Cemetery
912,Is faraday best known for his work with kinematics?,No
914,was he active in the area now called environmental science?,Yes
916,did he discover benzene?,Yes
918,who was his mentor?,John 'Mad Jack' Fuller
921,Who was Faraday's wife?,Sarah Barnard
923,did he advise the british government on the production of chemical weapons for use in the crimean war?,No
925,did faraday have strong maritime interests?,Yes
927,does the charge reside on the interior of a charged conductor?,No
929,Wasn't Michelangelo abstemious?,Michelangelo was abstemious.
930,Wasn't Michelangelo a homosexual?,It is not clear.
931,When did Filippo Strozzi sell it to Francis I?,In 1529.
932,When was his house demolished?,1874
933,Was Michelangelos mother Francesca di Neri del Miniato di Siena?,yes
934,Give an example of the most renowned works of the Renaissance. ,"The Statue of David, completed by Michelangelo in 1504"
935,Was Michelangelo's output in every field during his long life prodigious?,yes
954,Is English the language most often spoken in Montreal?,The language most spoken at home in the city is French.
955,Is English the language most often spoken in Montreal?,"No, the language most spoken in Montreal is French."
956,Is Montreal's economy the third largest of all cities in Canada?,"No, Montreal's economy is the second largest of all cities in Canada."
957,Is Montreal's economy the third largest of all cities in Canada?,"No, Montreal's economy is the second largest of all cities in Canada."
958,Is the most popular sport in Montreal ice hockey?,"yes, The most popular sport in Montreal is ice hockey."
959,Is the most popular sport in Montreal ice hockey?,"Yes, the most popular sport in Montreal is ice hockey."
960,How many international airports does Montreal have?,Montreal has two international airports.
961,How many international airports does Montreal have?,Montreal has two international airports.
962,Who is the Mayor of Montreal?,The mayor is GÃ©rald Tremblay.
963,Who is the Mayor of Montreal?,The mayor is GÃ©rald Tremblay.
964,What is the name of the largest church in Montreal?,The largest church in Montreal is named Saint Joseph's Oratory.
965,What is the name of the largest church in Montreal?,Saint Joseph's Oratory is the largest church in Montreal.
966,Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?,The Sud-Ouest borough was home to much of the city's industry during the late 19th and early-to-mid 20th century. 
967,Where was much of Montreal's industry during the late 19th and early-to-mid 20th century?,The Sud-Ouest borough was home to much of the city's industry during the late 19th and early-to-mid 20th century.
968,Does Montreal contain the largest church in Canada?,Yes
969,Does Montreal contain the largest church in Canada?,"Yes, Montreal contains the largest church in Canada."
970,What is the largest primarily French-speaking city in the western world?,Paris is the largest primarily French-speaking city in the western world.
971,What is the largest primarily French-speaking city in the western world?,The largest primarily French-speaking city in the western world is Paris.
972,Is Nairobi the capital of Kenya?,Yes
974,Was Nairobi founded in 1899?,Yes
976,Is the current estimated population of Nairobi about 6 milion?,No
978,What is the current estimated population of Nairobi?,About 3 million
980,In what year was Nairobi founded?,1899
982,Which embassy in Nairobi was bombed in August 1998?,The United States Embassy
984,How many civilians died in the 1998 U.S. embassy bombing?,Over two hundred
986,How many trades can the NSE make per day?,10 million trades
988,About how many people are estimated to live in Nairobi?,3 million
990,The district is bordered to the southwest by Uhuru Park and where?,Central Park
991,When did the Catholic University of Eastern Africa which obtain its Letter of Interim Authority?,In 1989.
992,Is Central Park adjacent to Uhuru Park?,Central Park is adjacent to Uhuru Park.
993,Give an example of the highest growth rates of any city in Africa. ," The growth rate of Nairobi is currently 6.9%,  an example of the highest growth rates of any city in Africa."
994,Give an example of the most prominent cities in Africa politically and financially. ,Nairobi is now one of the most prominent cities in Africa politically and financially
995,Is Nairobi not the capital as well as largest city of Kenya?,Nairobi is the capital and largest city of Kenya.
996,Does the city and its surrounding area also form the Nairobi Province?,yes
997,"Does the name ``Nairobi'' come from the Maasai phrase Enkare Nyirobi, which translates to ``the place of cool waters''?",Yes.
998,Did Nikola Tesla die alone?,Nikola Tesla died alone.
999,Did Nikola Tesla die alone?,Yes
1000,Was Nikola Tesla close friends with Mark Twain?,Nikola Tesla was close friends with Mark Twain.
1001,Was Nikola Tesla close friends with Mark Twain?,Yes
1002,Did Nikola Tesla use a technique called picture thinking?,Nikola Tesla used a technique called picture thinking.
1003,Did Nikola Tesla use a technique called picture thinking?,Yes
1004,When did Nikola Tesla appear on the cover of Time Magazine?,"On Tesla's 75th birthday in 1931, Time magazine put him on its cover."
1005,When did Nikola Tesla appear on the cover of Time Magazine?,1931
1006,Who became adversaries with Nikola Tesla?,Nikola Tesla became adversaries with Edison.
1007,Who became adversaries with Nikola Tesla?,Edison
1008,Where did Nikola Tesla move to in 1880?,"In 1880, Nikola Tesla moved to Budapest."
1009,Where did Nikola Tesla move to in 1880?,Budapest
1010,Was Nikola Tesla's mother illiterate?,Nikola Tesla's mother never learned to read.
1011,Was Nikola Tesla's mother illiterate?,Yes
1012,How many siblings did Nikola Tesla have?,Nikola Tesla had four siblings.
1013,How many siblings did Nikola Tesla have?,4
1014,Was Nikola Tesla a vegetarian?, In his later years Tesla became a vegetarian.
1015,Was Nikola Tesla a vegetarian?,Yes
1016,"Is there a monument to Tesla at Niagara Falls, New York?",Yes
1018,Was Tesla an American citizen?,Yes
1020,Was Tesla on the cover of Time magazine?,Yes
1022,Where did Tesla study electrical engineering?,The Austrian Polytechnic in Graz
1024,When did Tesla receive his last patent?,1928
1026,What languages did Tesla speak?,"Serbian, Czech, English, French, German, Hungarian, Italian, and Latin"
1028,Did Tesla win the Nobel Prize?,No
1030,Was Tesla rich at the time of his death?,No
1032,What music group was named after Tesla?,Tesla
1034,"Consequently, what is not considered a ""serious painter"" by some contemporary artists, who often regard his work as bourgeois and kitsch?",Rockwell 
1035,Who spent the next 10 years painting for Look magazine?,Norman Rockwell.
1036,When was his last painting for the Post published?,1963
1037,"When did Rockwell marry his first wife, Irene O'Connor,?",In 1916.
1038,Did Norman Rockwell spend the winter months as artist-in-residence at Otis College of Art as well as Design?,Yes
1039,Did Norman Rockwell publish a total of 321 original covers for The Saturday Evening Post over 47 years?,Yes.
1040,Was Rockwell also commissioned to illustrate over 40 books including Tom Sawyer as well as Huckleberry Finn?,Rockwell was also commissioned to illustrate over 40 books including Tom Sawyer and Huckleberry Finn. 
1041,"Do his works enjoy a broad popular appeal in the United States, where Rockwell is most famous for the cover illustrations of everyday life scenarios he created for The Saturday Evening Post magazine over more than four decades?",yes
1042,"Are among the best-known of Rockwell's works the Willie Gillis series, Rosie the Riveter (although his Rosie was reproduced less than others of the day), Saying Grace (1951), and the Four Freedoms series?",Yes.
1043,Is he also noted for his work for the Boy Scouts of America (BSA)?,yes
1044,Is the octopus a cephalopod?,"Yes, the octopus is a cephalopod."
1045,Is the octopus a cephalopod?,"Yes, the octopus is a cephalopod."
1046,Does the octopus have two eyes?,"Yes, the octopus has two eyes."
1047,Does the octopus have two eyes?,"Yes, the octopus has two eyes."
1048,Does the octopus have a hard beak?,"Yes, the octopus has a hard beak."
1049,Does the octopus have a hard beak?,"Yes, the octopus has a hard beak."
1050,Where is the mouth of an octopus?,The mouth of an octopus is at the center point of the arms.
1051,Where is the mouth of an octopus?,The octopus' mouth is at the center point of the arms.
1052,Around how many recognized octopus species are there?,There are around 300 recognized octopus species.
1053,Around how many recognized octopus species are there?,There are around 300 recognized octopus species.
1054,How many arms does an octopus have?,An octopus has four pairs of arms.
1055,How many arms does an octopus have?,The octopus has four pairs of arms.
1056,What is the range of lifespans of the octopus?,Octopuses can live from six months to five years.
1057,What is the range of lifespans of the octopus?,The octopus has a short lifespan.
1058,What is an example of something an octopus learned in a research experiment?,"In research experiments, octopus can be trained to distinguish between different shapes and patterns."
1059,What is an example of something an octopus learned in a research experiment?,An octopus learned to solve mazes.
1060,How can an octopus defend against predators?,"To defend against predators, an octopus can hide, flee quickly, expel ink, or use color-changing camouflage."
1061,How can an octopus defend against predators?,"They can hide, flee, expel ink, or use camouflage."
1062,Are Octopus highly intelligent?,yes
1063,Do males use a specialized arm called a hectocotylus to insert spermatophores?,Yes
1064,Do the octopuses in the less familiar Cirrina suborder have two fins and an internal shell?,"Yes, the octopuses in the less familiar Cirrina suborder have two fins and an internal shell."
1065,Do octopuses have two eyes and four pairs of arms?,"Yes, octopuses have two eyes and four pairs of arms."
1066,Is octopus a common food in Mediterranean cuisine as well as Portuguese cuisine?,Yes
1067,Is the collective form octopus usually reserved for animals consumed for food?,Yes
1068,"Has an octopus a hard beak, with its mouth at the center point of the arms?",Yes
1069,What happened in 1968 through 1971?,"Devoting his full energies to his work, Picasso became more daring, his works more colorful and expressive, and from 1968 through 1971"
1070,What happened in 1838?,Don José Ruiz y Blasco was born
1071,"Who was not long in finding another lover, Jacqueline Roque?",Picasso.
1072,When did Picasso make his first trip to Paris?,1900
1073,Give an example of the most comprehensive records extant of any major artists beginnings. ,Museu Picasso
1074,Is in the 1996 movie Surviving Picasso Picasso played by actor Anthony Hopkins?,Yes.
1075,Is the U.S. copyright representative for the Picasso Administration the Artists Rights Society?,yes
1076,Is he one of the most recognized figures in 20th-century art?,yes
1077,Is he best known for co-founding the Cubist movement and for the wide variety of styles embodied in his work?,Yes.
1078,"Are among his most famous works the proto-Cubist Les Demoiselles d'Avignon (1907) and Guernica (1937), his portrayal of the German bombing of Guernica during the Spanish Civil War?",Yes.
1079,Are pianos used in Western music?,Yes.
1080,Are pianos used in Western music?,Yes
1081,"Are ""upright pianos"" called ""vertical pianos""?",Yes.
1082,"Are ""upright pianos"" called ""vertical pianos""?",Yes
1083,Did Bartolomeo Cristofori invent the modern piano?,Yes.
1084,Did Bartolomeo Cristofori invent the modern piano?,Yes
1085,What is the middle pedal called on grand pianos?,the sostenuto pedal.
1086,What is the middle pedal called on grand pianos?,sostenuto pedal
1087,How many black keys do modern pianos have?,36.
1088,How many black keys do modern pianos have?,36
1089,What is the sustain pedal called?,The pedal
1090,What is the sustain pedal called?,damper pedal
1091,Where is Irving Berlin's piano located?,In the Smithsonian Museum.
1092,Where is Irving Berlin's piano located?,in the Smithsonian Museum
1093,What kind of piano did Irving Berlin play?,The transposing piano.
1094,What kind of piano did Irving Berlin play?,transposing piano
1095,Is the left-most pedal on a grand piano called the una corda?,yes
1096,Is the left-most pedal on a grand piano called the una corda?,"Yes, the left-most pedal on a grand piano is called the una corda."
1097,Is it advantageous for a grand piano's metal plate to be quite massive?,yes
1098,Is it advantageous for a grand piano's metal plate to be quite massive?,It is advantageous for the plate to be quite massive.
1099,Is the mechanism in an upright piano perpendicular to its keys?,yes
1100,Is the mechanism in an upright piano perpendicular to its keys?,The mechanism in upright pianos is perpendicular to the keys.
1101,About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall.
1102,About how tall is a typical studio piano?,Studio pianos are around 42 to 45 inches tall.
1103,What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood.
1104,What are a piano's keys generally made of?,Piano keys are generally made of spruce or basswood.
1105,How many total keys does a typical modern piano have?,88 keys.
1106,How many total keys does a typical modern piano have?,A modern piano has 88 keys.
1107,Why are upright pianos more compact?,Upright pianos are more compact because the frame and strings are vertical.
1108,Why are upright pianos more compact?,Upright pianos are more compact because the frame and strings are vertical.
1109,Do older pianos have more keys than modern pianos?,no.
1110,Do older pianos have more keys than modern pianos?,Many older pianos only have 85 keys.
1111,What are the names of a piano's pedals?,"Piano pedals from left to right: una corda, sostenuto, and damper."
1112,What are the names of a piano's pedals?,"The names of a piano's pedals are una corda, sostenuto, and damper."
1113,"What happened in the January 15, 1882?","On January 15, 1882 Renoir met the composer Richard Wagner at his home in Palermo, Sicily."
1114,What happened in 1887?,"In 1887, a year when Queen Victoria celebrated her Golden Jubilee, and upon the request of the queen's associate, Phillip Richbourg, he donated several paintings to the ""French Impressionist Paintings"" catalog as a token of his loyalty."
1115,Is one of the best known Impressionist works Renoirs 1876 Dance at Le Moulin de la Galette?,Yes.
1116,Was Pierre-Auguste Renoir born in Limoges Haute-Vienne France the child of a working class family?,yes
1117,Have two of Renoirs paintings sold for more than US0 million?,Yes (any painting sells for more than $0 million though...)
1118,"As a celebrator of beauty, and especially feminine sensuality, has it been said that ``Renoir is the final representative of a tradition which runs directly from Rubens to Watteau''?",Yes.
1119,"Did Pierre-Auguste Renoir die in Limoges, Haute-Vienne, France, the child of a working class family?",no
1120,"As a boy, did he work in a porcelain factory where his drawing talents led to him being chosen to paint designs on fine china?",yes
1121,Is Portuguese an official language of Andorra?,No
1122,Is Portuguese an official language of Andorra?,"No, Portuguese is not an official language of Andorra."
1123,Does the Portuguese language have its roots in the Latin language?,Yes
1124,Does the Portuguese language have its roots in the Latin language?,"Yes, Portuguese is derived from Latin."
1125,Does Portuguese contain words from the Arabic language?,Yes
1126,Does Portuguese contain words from the Arabic language?,"Yes, Portuguese contains words from the Arabic language."
1127,Where are there small Portuguese-speaking communities?,Former overseas colonies of Portugal such as Macau and East Timor 
1128,Where are there small Portuguese-speaking communities?,There are small Portuguese-speaking communities in Macau and East Timor.
1129,What are the two main groups of Portuguese dialects?,Those of Brazil and those of the Old World
1130,What are the two main groups of Portuguese dialects?,The two main groups of dialects are Brazil and the Old World.
1131,What event marked the end of the Old Portuguese period?,The publication of the Cancioneiro Geral by Garcia de Resende in 1516
1132,What event marked the end of the Old Portuguese period?,The end of the Old Portuguese period was marked by the publication of the Cancioneiro Geral by Garcia de Resende.
1133,Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,Equatorial Guinea
1134,Which government established Portuguese as it's third official language in order to meet the requirements to apply for full membership in the CPLP?,The government of Equatorial Guinea established Portuguese as its third official language in order to meet the requirements to apply for full membership in the CPLP.
1135,"By 2050, what will the total population of Portuguese speakers in the world be?",335 million people
1136,"By 2050, what will the total population of Portuguese speakers in the world be?","By 2050, Portuguese-speaking countries will have a total population of 335 million people."
1137,In which country is Portuguese the co-official language with Cantonese Chinese?,Macau
1138,In which country is Portuguese the co-official language with Cantonese Chinese?,Portuguese is the co-official language with Cantonese Chinese in Macau.
1139,Wasn't Portuguese language spread by arriving Roman soldiers?,Yes.
1140,"(where French has a similar phenomenon, with alveolar affricates instead of postalveolars?",Quebec.
1141,"Give an example of the official languages of the special administrative region of Macau and East Timor, . ",Portuguese
1142,Is Portuguese an official language of several international organizations?,Yes.
1143,"Is it derived from the Latin spoken by the romanized pre-Roman peoples of the Iberian Peninsula (namely the Gallaeci, the Lusitanians, the Celtici and the Conii) around 2000 years ago?",yes
1144,Was it used as the exclusive lingua franca on the island of Sri Lanka for almost 350 years?,yes
1145,Is the city named after the apostle Saint Peter?,yes
1146,Is the city named after the apostle Saint Peter?,Yes.
1147,Has the terrain in the city been artificially raised?,yes
1148,Has the terrain in the city been artificially raised?,Yes.
1149,What were some other names of the city?,"Petrograd, Leningrad, and Piter"
1150,What were some other names of the city?,Petrograd and Leningrad.
1151,What festival features fireworks  celebrating the end of the school year?,The White Nights Festival in Saint Petersburg
1152,What festival features fireworks  celebrating the end of the school year?,The White Nights Festival.
1153,Where do most people in urban Saint Petersburg live?,apartments
1154,Where do most people in urban Saint Petersburg live?,Apartments.
1155,What was made in Russia's largest foundry?,thousands of sculptures and statues
1156,What was made in Russia's largest foundry?,Thousands of sculptures and statues.
1157,When did the crime level become higher?,After the October revolution.
1158,How to travel to work from the city to Moscow?,railway
1159,How to travel to work from the city to Moscow?,One way is through the Moscow-Saint Petersburg Railway.
1160,Who laid down the Peter and Paul Fortress?,Peter the Great 
1161,When was the 7th symphony premiered?,1942
1162,"Has Equestrianism been a long tradition, popular among the Tsars and aristocracy?",yes
1163,"Give an example of the largest stadiums anywhere in the world, and the home to FC Zenit St. Petersburg in 1950-1993 and 1995. ","Kirov Stadium (now demolished) was one of the largest stadiums anywhere in the world, and the home to FC Zenit St. Petersburg in 1950-1993 and 1995."
1164,Give an example of the best known symphony orchestras in the world under the leadership of conductors Yevgeny Mravinsky and Yuri Temirkanov. ,The Leningrad Philharmonic Orchestra
1165,"Give an example of the longest, most destructive, and most lethal sieges of major cities in modern history. ",The Siege of Leningrad
1166,"Were the city's other names Petrograd (, 1914 -- 1924) and Leningrad (, 1924 -- 1991)?",yes
1167,Is it often called just Petersburg (-RRB- and is informally known as Piter (-RRB-?,Yes
1168,"Founded by Tsar Peter I of Russia on 27 May 1703, was it the capital of the Russian Empire for more than two hundred years (1713 -- 1728, 1732 -- 1918)?",Yes.
1169,Is the standard of living in San Franciscio high?,"Yes, San Francisco is characterized by a high standard of living."
1170,Is the standard of living in San Franciscio high?,Yes
1171,Does San Francisco have a high percentage of gay and lesbian individuals?,"Yes, according to the 2005 American Community Survey, San Francisco has the highest percentage of gay and lesbian individuals of any of the 50 largest U.S. cities, at 15.4%."
1172,Does San Francisco have a high percentage of gay and lesbian individuals?,Yes
1173,Is San Franscico a popular tourist destination?,Yes. San Francisco is a popular international tourist destination.
1174,Is San Franscico a popular tourist destination?,Yes
1175,How large is the population of San Francisco?,"The estimated population of San Francisco in the year 2008 was 808,976."
1176,How large is the population of San Francisco?,"San Francisco has an estimated population of 808,976."
1177,How many state parks are in San Francisco?,There is only one park managed by the California State Park system: Candlestick Point.
1178,How many state parks are in San Francisco?,There is one state park in San Francisco.
1179,Where is San Francisco?,San Francisco is located on the West Coast of the United States at the tip of the San Francisco Peninsula.
1180,Where is San Francisco?,San Francisco is in California.
1181,What is the cause of local earthquakes?,It was the San Andreas Fault which slipped and caused the earthquakes in 1906 and 1989.
1182,What is the cause of local earthquakes?,The nearby San Andreas and Hayward Faults are responsible for much earthquake activity.
1183,Are more residents employed by small businesses than in 1977?,"The number of San Franciscans employed by firms of more than 1,000 employees has fallen by half since 1977."
1184,Are more residents employed by small businesses than in 1977?,No
1185,How does poverty in San Francisco compare to the nation-wide average?,"The city's poverty rate is 11.8% and the number of families in poverty stands at 7.4%, both lower than the national average."
1186,How does poverty in San Francisco compare to the nation-wide average?,San Francisco's poverty rate is lower than the national average.
1187,Was Mission Bay campus opened in 2003,yes
1188,Was Mission Bay campus opened in 2003,Yes
1189,Was the University of San Fransisco founded in 1855,yes
1190,Is Golden Gate Park the largest city park,yes
1191,Is Golden Gate Park the largest city park,Yes
1192,What is Northern California's most widely circulated newspaper,San Francisco Chronicle
1193,What is Northern California's most widely circulated newspaper,San Francisco Chronicle
1194,What makes San Francisco among the top-ten North American destinations for conventions and conferences,San Francisco has a large hotel infrastructure and a world-class convention facility in the Moscone Center
1195,What makes San Francisco among the top-ten North American destinations for conventions and conferences,a large hotel infrastructure and a world-class convention facility in the Moscone Center
1196,Who manages Candlestick point,California State Park system
1197,Who manages Candlestick point,the California State Park system
1198,Is Crissy field an airfield,Yes
1199,Does the de Young museum house the Asian Art Museum,yes
1200,Does the de Young museum house the Asian Art Museum,No
1201,What prompted the city to upgrade its building codes,earthquakes
1202,What prompted the city to upgrade its building codes,The threat of major earthquakes
1203,"Like many larger where cities, San Francisco is a minority-majority city, as non-Hispanic whites comprise less than half of the population?",U.S.
1204,Who laid out a street plan for the expanded settlement?,William Richardson and Alcalde Francisco de Haro.
1205,When was a 43-acre Mission Bay campus opened?,2003
1206,When did it sign on the air?,In 1941.
1207,Give an example of the largest two-year community colleges in the country. ,The City College of San Francisco.
1208,Give an example of the ten Beta World Cities. ,San Trancisco
1209,"The only consolidated city-county in California, does it encompass a land area of on the northern end of the San Francisco Peninsula, making it the second most densely populated city in the United States?",San Francisco
1210,"Is San Francisco also the financial, cultural, and transportation center of the larger San Francisco Bay Area, a region of 7.4 million people?",yes
1211,In what year did the Spanish establish a fort at the Golden Gate and a mission named for Francis of Assisi on the site?,"In 1776, the Spanish established a fort at the Golden Gate and a mission named for Francis of Assisi on the site."
1212,Does Swahili have dipthongs?,"Yes, Swahili has diphthongs. (Typo)"
1213,Is Swahili a Bantu language?,"Yes, Swahili is a Bantu language."
1214,Is Swahili a Bantu language?,yes
1215,Did Uganda make Swahili a required subject in primary schools?,"Yes, Uganda made Swahili a required subject in primary schools."
1216,Did Uganda make Swahili a required subject in primary schools?,yes
1217,What is the Swahili word for the Swahili language?,Kiswahili is the Swahili word for the Swahili language.
1218,What is the Swahili word for the Swahili language?,Kiswahili
1219,Is Swahili spoken in Mozambique?,"Yes, Swahili is spoken in parts of northern Mozambique."
1220,Is Swahili spoken in Mozambique?,yes
1221,How does Swahili time run?,Swahili time runs from dawn to dusk.
1222,How does Swahili time run?,from dawn to dusk
1223,How many noun classes does Swahili have?,Swahili has sixteen noun classes.
1224,How many noun classes does Swahili have?,sixteen
1225,In what year did Germany seize Tanganyika?,Germany seized Tanganyika in 1886.
1226,In what year did Germany seize Tanganyika?,1886
1227,Which is the sub-Saharan indigenous language with the greatest number of speakers?,Hausa of West Africa is the sub-Saharan indigenous language with the greatest number of speakers.
1228,Which is the sub-Saharan indigenous language with the greatest number of speakers?,Hausa
1229,Is Swedish a descendant of Old Norse?,Yes.
1230,Is Swedish a descendant of Old Norse?,Yes
1231,Does Swedish use the perfect participle to form the present perfect tense?,No.
1232,Does Swedish use the perfect participle to form the present perfect tense?,No
1233,How many Swedish speakers were reported in Canada in 2001?,"16,915."
1234,How many Swedish speakers were reported in Canada in 2001?,"There are 16,915 reported Swedish speakers in Canada."
1235,How many letters are in the basic Latin alphabet?,26.
1236,How many letters are in the basic Latin alphabet?,26
1237,When did a standard and common language become available to all Swedes?,In the 20th Century.
1238,When did a standard and common language become available to all Swedes?,"It was during the 20th century that a common, standardized national language became available to all Swedes."
1239,When did the Soviet military forces occupy Estonia?,1944.
1240,When did the Soviet military forces occupy Estonia?,In 1944.
1241,What are the differences between English and Swedish pronouns?,"Swedish pronouns are basically the same as those of English but distinguish two genders and have an additional object form, derived from the old dative form, as well as a distinct genitive case."
1242,How does Swedish language counterbalance the absence of cases?,The lack of cases in Swedish is compensated by a wide variety of prepositions.
